trial_id,method,step,r_squared,entropy,violations,tq
23,epistemic,4,0.579602,0.420398,0,1.0000
23,epistemic,5,0.579759,0.420241,0,1.0000
23,epistemic,6,0.616487,0.383513,0,1.0000
23,epistemic,7,0.619149,0.380851,0,0.4865
24,epistemic,0,0.317440,0.682560,0,1.0000
24,epistemic,1,0.368566,0.631434,0,1.0000
24,epistemic,2,0.486691,0.513309,0,1.0000
24,epistemic,3,0.511763,0.488237,0,1.0000
24,epistemic,4,0.570296,0.429704,0,1.0000
24,epistemic,5,0.567317,0.432683,0,1.0000
24,epistemic,6,0.580026,0.419974,0,1.0000
24,epistemic,7,0.576049,0.423951,0,0.4865
25,epistemic,0,0.271459,0.728541,0,1.0000
25,epistemic,1,0.284436,0.715564,0,1.0000
25,epistemic,2,0.328508,0.671492,0,1.0000
25,epistemic,3,0.367877,0.632123,0,1.0000
25,epistemic,4,0.516241,0.483759,0,1.0000
25,epistemic,5,0.515963,0.484037,0,1.0000
25,epistemic,6,0.545629,0.454371,0,1.0000
25,epistemic,7,0.539897,0.460103,0,0.4865
26,epistemic,0,0.269042,0.730958,0,1.0000
26,epistemic,1,0.341286,0.658714,0,1.0000
26,epistemic,2,0.482544,0.517456,0,1.0000
26,epistemic,3,0.499909,0.500091,0,1.0000
26,epistemic,4,0.582287,0.417713,0,1.0000
26,epistemic,5,0.581506,0.418494,0,1.0000
26,epistemic,6,0.639630,0.360370,0,1.0000
26,epistemic,7,0.639974,0.360026,0,0.4865
27,epistemic,0,0.256055,0.743945,0,1.0000
27,epistemic,1,0.328452,0.671548,0,1.0000
27,epistemic,2,0.462948,0.537052,0,1.0000
27,epistemic,3,0.500136,0.499864,0,1.0000
27,epistemic,4,0.573721,0.426279,0,1.0000
27,epistemic,5,0.573560,0.426440,0,1.0000
27,epistemic,6,0.590063,0.409937,0,1.0000
27,epistemic,7,0.594028,0.405972,0,0.4865
28,epistemic,0,0.283494,0.716506,0,1.0000
28,epistemic,1,0.335352,0.664648,0,1.0000
28,epistemic,2,0.433136,0.566864,0,1.0000
28,epistemic,3,0.470254,0.529746,0,1.0000
28,epistemic,4,0.553157,0.446843,0,1.0000
28,epistemic,5,0.552394,0.447606,0,1.0000
28,epistemic,6,0.564914,0.435086,0,1.0000
28,epistemic,7,0.558685,0.441315,0,0.4865
29,epistemic,0,0.215370,0.784630,0,1.0000
29,epistemic,1,0.264666,0.735334,0,1.0000
29,epistemic,2,0.407759,0.592241,0,1.0000
